ass;asem;bsem;type;path;name;abrv;credits
05.554;1;0;B;0;Fundamentos de Programación;FdP;6
05.555;2;0;B;0;Prácticas de Programación;PrP;6
05.556;2;0;B;0;Administración y Gestión de Organizaciones;AyGdO;6
05.557;2;0;B;0;Álgebra;Alg;6
05.558;3;0;B;0;Análisis Matemático;AM;6
05.559;2;0;O;0;Inglés I;IngI;6
05.560;4;0;O;0;Inglés II;IngII;6
05.561;1;0;B;0;Trabajo en Equipo en la Red;TeEelR;6
05.562;2;0;B;0;Fundamentos de Computadores;FdC;6
05.563;1;0;O;0;Competencia Comunicativa para Profesionales de las TIC;CCTIC;6
05.564;3;0;O;0;Diseño y Programación Orientada a Objetos;DyPOO;6
05.565;1;0;O;0;Ingeniería del Software;IdS;6
05.566;4;0;O;0;Sistemas Operativos;SO;6
05.567;4;0;O;0;Uso de Bases de Datos;UdBD;6
05.568;4;0;B;0;Estadística;Est;6
05.569;3;0;O;0;Grafos y Complejidad;GyC;6
05.570;1;0;B;0;Lógica;Log;6
05.571;5;0;O;0;Gestión de Proyectos;GdP;6
05.572;5;0;O;0;Redes y Aplicaciones Internet;RyAI;6
05.573;3;0;O;0;Estructura de Computadores;EdC;6
05.574;6;2;P;1_5;Seguridad de Redes de Computadores;SdRdC;6
05.575;5;0;O;0;Administración de Redes y Sistemas Operativos;AdRySO;6
05.576;6;2;P;5;Diseño de Redes de Computadores;DdRdC;6
05.577;6;1;P;1;Diseño de Sistemas Operativos;DdSO;6
05.578;6;1;P;1;Arquitectura de Computadores;AdC;6
05.579;6;2;P;3;Autómatas y Gramáticas;AyG;6
05.580;6;1;P;3;Compiladores;Com;6
05.581;6;2;P;3;Representación del Conocimiento;RdC;6
05.582;5;0;O;0;Inteligencia Artificial;IA;6
05.583;6;2;P;3;Aprendizaje Computacional;AC;6
05.584;6;0;P;3;Minería de Datos;MdD;6
05.585;5;0;O;0;Diseño de Bases de Datos;DdBD;6
05.586;6;2;P;2;Análisis y Diseño con Patrones;AyDcP;6
05.587;6;2;P;2;Ingeniería del Software de Componentes y Sistemas Distribuidos;ISdCySD;6
05.588;6;1;P;2;Proyecto de Desarrollo del Software;PdDdS;12
05.589;6;0;O;0;Sistemas Distribuidos;SD;6
05.590;3;0;O;0;Interacción Persona Ordenador;IPO;6
05.591;6;2;P;1;Estructura de Redes de Computadores;EdRdC;6
05.592;6;2;P;1;Arquitecturas de Computadores Avanzadas;AdCA;6
05.593;6;1;P;2;Ingeniería de Requisitos;IdR;6
05.594;6;1;P;1;Sistemas Empotrados;SE;6
05.595;6;1;P;4;Iniciativa Emprendedora;IE;6
05.596;6;1;P;4_5;Fundamentos de Sistemas de Información;FdSI;6
05.597;6;2;P;4_5;Integración de Sistemas de Información;IdSI;6
05.598;6;2;P;4;Uso de Sistemas de Información en las Organizaciones;UdSIeO;6
05.599;6;2;P;4;Gestión Funcional de Servicios de SI/TI;GFdSdSI;6
05.600;6;1;P;4;Planificación y Uso Estratégico de SI;PyUEdSI;6
05.601;6;2;P;0;Criptografía;Cri;6
05.604;6;1;P;5;Comercio Electrónico;CE;6
05.607;6;1;P;5;Arquitectura de Bases de Datos;AdBD;6
05.611;4;0;B;0;Fundamentos Físicos de la Informática;FFdI;6
05.613;6;1;P;2_3;Diseño de Estructuras de Datos;DdED;6
05.614;0;0;C;0;Iniciación a las Matemáticas para la Ingeniería;IMpI;6
05.615;6;0;P;0;Prácticas en Empresa;PeE;12
05.616;8;0;T;0;Trabajo Final de Grado;TFG;12
22.400;0;0;C;0;Pensamiento Computacional;PCAP;6
