en;es
Previous;Anterior
Choose degree;Elige grado
Computer science;Grado de informatica
Applied data science;Ciencias de datos aplicadas
Choose a semester:;Elige un semestre:
Choose a student:;Elige un estudiante:
Importance of semester planning:;Importancia de la organitzación semestral:
Max radius for bubbles:;Radio máximo para las burbujas:
Configuration;Configuración
Rate the importance of the following criteria for separating subjects you prefer not to take together:;Asigna un valor a los siguientes criterios para separar en el mapa las asignaturas que no deberían matricularse juntas según tus preferencias.
Difficulty:;Dificultad:
Separate subjects often failed when taken together;Separa asignaturas que al matricularse juntas se suspenden más a menudo
Popularity:;Popularidad:
Separate subjects that are rarely enrolled together;Separa asignaturas que casi nunca se matriculan juntas
Assignment Deadline Overlaps:;Solapamientos entre entregas:
Separate the subjects that have more overlapping deadlines;Separa asignaturas que tienen más actividades solapadas
Recommend Subjects;Recomienda asignaturas
We've loaded your academic record. Select subjects you plan to transfer credit for, or do not plan to take. This step is optional. Click 'Continue' when ready.;Hemos cargado tu expediente académico. Selecciona las asignaturas que piensas convalidar o quieres descartar (este paso es opcional). Cuando las hayas seleccionado, puedes hacer clic en siguiente.
The system has recommended in shades of green the most appropriate subjects to enroll according to your preferences.;El sistema te ha recomendado en tonos de verde las asignaturas más adecuadas a matricular según tus preferencias.
On the map, select the subjects that you want to enroll in.;Selecciona en el mapa las asignaturas que quieras matricular.
Information;Información
If you want to enroll in more than 36 credits, you must first <a href='https://campus.uoc.edu/estudiant/tramits/en/altres_tramits/autoritzacions/index.html?s=80b162a0322bf2949627660ed48acf10d0f6c1c4d4b5e7a4acbba088bc106c22c25bd1e0332d0a8365dff9701d20fbf1de48672a2d48f63d242e5353a2cb34cd' target='_blank'>request authorization</a>.;Si quieres cursar más de 36 créditos, primero debes <a href='https://campus.uoc.edu/estudiant/tramits/es/altres_tramits/autoritzacions/index.html?s=80b162a0322bf2949627660ed48acf10d0f6c1c4d4b5e7a4acbba088bc106c22c25bd1e0332d0a8365dff9701d20fbf1de48672a2d48f63d242e5353a2cb34cd' target='_blank'>solicitar una autorización</a>.
Total number of activities;Nº total de actividades
Number of days with activities;Nº de días con actividades
Percentage of overlap (days with more than 1 activity);Porcentaje de solapamiento (días con más de una actividad)
The system has marked in shades of green the ranking of the most recommended subjects for your enrollment.;El sistema ha marcado en tonos de verde el ranking de las asignaturas más recomendadas para tu matrícula.
Subject status;Estado de la asignatura
Pending;Sin cursar
Passed;Superada
Failed;No superada
Transferred;Convalidada
Selected;Seleccionada
Subjects:;Asignaturas:
Number of concurrent activities;Número de actividades concurrentes
Continue;Siguiente
Not available;No disponible
Choose recommender:;Elige recomendador:
Random;Aleatorio
Distance;Distancia
Distance adjustment for failed or non-submitted subjects:;Ajuste de distancia para asignaturas suspedidas o no presentadas:
Submission dates and activities are approximate.;Las fechas de entrega y las actividades son aproximadas.
Academic record;Tu expediente
Discard Subjects;Descartes
Discarded Subjects;Descartes
Discarded;Descartada
Preferences;Preferencias
Recommendations;Recomendaciones
Selection;Selección
Less important;Menos importante
More important;Más importante
Highlight a type of subject;Destaca un tipo de asignatura
All;Todas
Search subject;Buscar asignatura
Calculate the workload of the selected subjects.;Calcula la carga de trabajo de las asignaturas selecionadas.
Optionally, specify the number of days you expect to dedicate to each activity:;Si quieres, puedes especificar el nº de días que crees que vas a dedicar a cada actividad:
When you have selected the most suitable combination of subjects, you can download your enrollment plan.;Cuando hayas seleccionado la combinación de asignaturas más adecuadas puedes descargar tu configuración de matrícula.
Download enrollment plan;Descargar matrícula
Assignment Submission Calendar;Calendario de entrega de actividades evaluables
Subject recommender;Recomendador de assignatures
Thank you for using Visual Enrollment!;¡Gracias por utilizar Visual Enrollment!
Your preferences and selection for the next enrollment:;Tus preferencias y selección para la siguiente matricula:
Subject;Asignatura
Semester;Semestre
Grade;Nota
With Honors;Matrícula de Honor
Excellent;Excelente
Very Good;Notable
Satisfactory;Aprobado
Not Submitted;No Presentado
Recommendation;Recomendación
Prerequisites:;Prerrequisitos:
None;Ninguno
Status:;Estado:
Desired ECTS for Enrollment:;ECTS deseados para la matrícula:
Select ECTS for enrollment. 1 subject is usually 6 ECTS, with exceptions like internships or final projects.;Selecciona los ECTS a matricular. Normalmente 1 asignatura = 6 ECTS, excepto prácticas o TFG.
Choose Track:;Elige Itinerario:
Computer Engineering;Ingeniería de computadores
Software Engineering;Ingeniería del software
Computing;Computación
Information Systems;Sistemas de información
Information Technology;Tecnologías de la información
Not Sure;No estoy seguro
Track:;Itinerario:
Elective;Optativa
Selecting a track will prioritize recommending subjects from that branch. Choose 'Not Sure' if you haven't decided yet.;Seleccionar un itinerario priorizará la recomendación de asignaturas de esa rama. Elige 'No estoy seguro' si aún no te has decidido.
Main Settings;Configuración Principal
Advanced Settings;Configuración Avanzada
Not available (Not offered this semester);No disponible (No ofertada este semestre)
We estimate that an average activity requires about two weeks of dedication (15 days). Adjust this value according to your personal planning.;Estimamos que una actividad promedio requiere unas dos semanas de dedicación (15 días). Ajusta este valor según tu planificación personal.
Subjects;Asignaturas
Not available (Minimum %s ECTS required);No disponible (Mínimo %s ECTS requeridos)
Not available (You have already passed %s);No disponible (Ya has superado %s)
and;y
No matching subjects found.;No se ha encontrado ninguna asignatura coincidente.
